id,note,url,bill_id
a1fe5390-3750-435e-a596-323ee504c909,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=84&GAID=17&DocTypeID=HB&LegId=141916&SessionID=112,ocd-bill/7d5f2241-b2a1-43e8-8b61-05f88c8180f7
8b8626d2-3ced-4029-8114-b950ce72efee,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=71&GAID=17&DocTypeID=HB&LegId=141903&SessionID=112,ocd-bill/5922364b-9422-4d3c-9581-91591b58b0e8
8c52d40b-51bf-43cf-97a8-1c1a8479744a,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=66&GAID=17&DocTypeID=HB&LegId=141898&SessionID=112,ocd-bill/f3405f80-b38c-4859-acd9-da774799e451
ddbc5088-a591-4b1a-aa90-a4ff51f0b46b,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=85&GAID=17&DocTypeID=HB&LegId=141917&SessionID=112,ocd-bill/1dc32c38-31dc-4b3c-b5ff-2b079b19736d
c5bf5160-2d80-4c1e-9b47-8809d83b431e,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=77&GAID=17&DocTypeID=HB&LegId=141909&SessionID=112,ocd-bill/820d08ca-889c-4217-b859-8901e1a6515e
fb6ffb2f-8009-474a-978a-b2bd7d9f6c5b,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=68&GAID=17&DocTypeID=HB&LegId=141900&SessionID=112,ocd-bill/18124e32-1f71-45d1-ad36-be605197625b
72dfaf5f-b509-428b-bcbe-9ccfe62f6a32,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=79&GAID=17&DocTypeID=HB&LegId=141911&SessionID=112,ocd-bill/4b3bd9c3-c716-4fd8-9114-c35b67015647
288a4065-9a62-4ce5-b3c1-987b52a694bf,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=65&GAID=17&DocTypeID=HB&LegId=141897&SessionID=112,ocd-bill/4ede6265-d59a-4b49-bcba-c0ab51e5dea0
090ac2e8-7e2e-4c7e-a467-2869c017256c,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=57&GAID=17&DocTypeID=HB&LegId=141888&SessionID=112,ocd-bill/af2a2a0e-cc30-4b20-b522-150aa1a20dda
de5d4fe6-32d0-4850-a4dd-828a91f17882,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=83&GAID=17&DocTypeID=HB&LegId=141915&SessionID=112,ocd-bill/0786b864-27c1-4c47-986b-76afff763c51
0cf10061-afbc-46f4-9f38-56793797c8d0,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=67&GAID=17&DocTypeID=HB&LegId=141899&SessionID=112,ocd-bill/eca3bf6a-aee9-4eb9-a977-2a3bb35e6547
28fd22e9-d3a1-4549-a2fd-e81305193ec9,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=70&GAID=17&DocTypeID=HB&LegId=141902&SessionID=112,ocd-bill/23f5a446-dd4d-4b7c-b37c-1e3075b4c84f
83f69b2c-f0fb-4c58-aef0-e0a90731bbf7,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=62&GAID=17&DocTypeID=HB&LegId=141894&SessionID=112,ocd-bill/411b450f-c3b0-4ab4-9cb6-9f20a8aa4bf9
53b29398-5766-4a5b-a4f4-1f83cf479369,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=81&GAID=17&DocTypeID=HB&LegId=141913&SessionID=112,ocd-bill/d3f1f05b-7e4c-41d8-9036-989cd2e3646a
3ee70a65-be8c-46e6-b6ac-48459d99d86a,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=59&GAID=17&DocTypeID=HB&LegId=141890&SessionID=112,ocd-bill/268de7c0-c5a1-4d43-84ea-7ad72653a4bc
374b4000-7995-4d78-8f1c-0b08ef4171d9,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=61&GAID=17&DocTypeID=HB&LegId=141892&SessionID=112,ocd-bill/78b8c555-b364-43b0-b889-6e2ed29fa371
b42e94c7-f442-43d9-9f08-bdcc5601133f,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=75&GAID=17&DocTypeID=HB&LegId=141907&SessionID=112,ocd-bill/2478dd09-4b3c-403d-99db-ed2f1bdc0166
6027ec87-5c5b-4401-b08a-2fd05b8fb623,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=27&GAID=17&DocTypeID=HB&LegId=141858&SessionID=112,ocd-bill/1b6df5c1-b3dc-434f-9198-d6ca89dea2a2
9c1c8a13-fa26-4494-ab76-6591812c3a1a,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=28&GAID=17&DocTypeID=HB&LegId=141859&SessionID=112,ocd-bill/752d2307-567a-44bb-a09c-cd222b83e451
0384d05d-c73b-4a10-a568-971a65ffd5bf,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=56&GAID=17&DocTypeID=HB&LegId=141887&SessionID=112,ocd-bill/3d185436-8727-4f48-9ed9-0d2d95d2631a
247df63a-217a-477d-a223-4ea0022bf552,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=45&GAID=17&DocTypeID=HB&LegId=141876&SessionID=112,ocd-bill/89050ad3-62b4-4964-8d87-641c2b0ea8a3
10a0da4e-0a76-4ebc-a0a3-eadf108cc645,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=33&GAID=17&DocTypeID=HB&LegId=141864&SessionID=112,ocd-bill/15cb844e-ce27-4aa2-996e-d455cd75b36b
c3811222-beca-46a7-91b2-45b8428a552a,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=29&GAID=17&DocTypeID=HB&LegId=141860&SessionID=112,ocd-bill/19d67ebd-2c0f-40a9-b6ef-6daf477149fd
a314e9e9-bc48-4e58-a8f8-30d1d29a2ab7,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=25&GAID=17&DocTypeID=HB&LegId=141856&SessionID=112,ocd-bill/bc78ffbc-2053-41ac-a829-24bc4e8f4d8c
3789b3f7-d77e-4c77-ba7c-9b2da59c7674,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=32&GAID=17&DocTypeID=HB&LegId=141863&SessionID=112,ocd-bill/d5ca4636-89f8-4f88-8c80-3987c4a5a29a
c8c0c890-b71f-4666-8bc0-1eb21c1059a5,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=47&GAID=17&DocTypeID=HB&LegId=141878&SessionID=112,ocd-bill/c79003e0-ae94-4f53-922b-0ad485ecdd38
e612d877-eadb-462e-b00d-bfa0eea50137,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=46&GAID=17&DocTypeID=HB&LegId=141877&SessionID=112,ocd-bill/5f4b21df-ba44-439b-b057-6b465cf56ace
7dc68658-787d-4803-b1d8-98be0a626e6f,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=31&GAID=17&DocTypeID=HB&LegId=141862&SessionID=112,ocd-bill/29884fb3-c235-4ba1-8bf3-9ae1ded9c18b
2cd617c1-9620-49d2-9eca-797ba353961c,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=51&GAID=17&DocTypeID=HB&LegId=141882&SessionID=112,ocd-bill/cbab5d2a-1380-4ce9-abda-83a0fdc4187f
bbe9b6d7-423c-4810-9131-e93acf2db40d,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=55&GAID=17&DocTypeID=HB&LegId=141886&SessionID=112,ocd-bill/44d63c28-b4b9-4da2-858a-657653abc1b9
235919b7-01e6-49db-87bb-ebe73b7c235e,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=49&GAID=17&DocTypeID=HB&LegId=141880&SessionID=112,ocd-bill/fa3c92a6-eb71-44f9-bb07-55ce190873e1
9056a094-568f-42fc-97db-18ea2f5a3863,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=37&GAID=17&DocTypeID=HB&LegId=141868&SessionID=112,ocd-bill/9a388517-c52c-4029-9247-c2f1642176de
620b44b6-39d6-4013-bb8c-6ab853919655,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=54&GAID=17&DocTypeID=HB&LegId=141885&SessionID=112,ocd-bill/7f4d6a5a-0566-4565-8ebe-008ab94400d0
fd0b4727-cee4-4eb9-a3f3-e37eae8081e8,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=41&GAID=17&DocTypeID=HB&LegId=141872&SessionID=112,ocd-bill/da391d9e-4f38-4528-8389-731e98a164a0
799ce161-1592-476e-9993-c6d3423a0bfe,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=53&GAID=17&DocTypeID=HB&LegId=141884&SessionID=112,ocd-bill/3a484a23-0e4e-4f3f-8b23-7568ddfe7f22
d8272aa5-1ab3-461a-ae89-a35df64641f4,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=34&GAID=17&DocTypeID=HB&LegId=141865&SessionID=112,ocd-bill/89ff33eb-0230-47de-9fc1-478b7e3f6930
c10e0228-9545-414c-8c8d-f5ff47f94a20,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=39&GAID=17&DocTypeID=HB&LegId=141870&SessionID=112,ocd-bill/563813a3-9ef5-48bf-a485-ab9a347980e2
9ed63aaa-bed7-4669-abda-f79c23972e07,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=35&GAID=17&DocTypeID=HB&LegId=141866&SessionID=112,ocd-bill/40d61e93-ed8d-4eb9-8b05-13db3938e2c8
78dba1f3-9f9e-48f3-9bee-a1af46ee38cd,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=38&GAID=17&DocTypeID=HB&LegId=141869&SessionID=112,ocd-bill/2b00a4e4-337d-469e-b4e9-0d0052a6ec24
81812061-d2bb-4edb-97e6-633e097d1f2e,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=36&GAID=17&DocTypeID=HB&LegId=141867&SessionID=112,ocd-bill/5e60fc5f-5ff9-4625-ad60-435358b486b5
3ab3980a-50c1-4a54-b2cc-d3fe45051259,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=42&GAID=17&DocTypeID=HB&LegId=141873&SessionID=112,ocd-bill/0bf027d3-1d7d-4ca3-afc3-c9e134c91057
f2ba45d0-4498-4029-a1eb-6aa0f748fe7c,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=40&GAID=17&DocTypeID=HB&LegId=141871&SessionID=112,ocd-bill/744b3341-23a3-4c3b-8f35-dd9fb1c7d4e0
b1ca258f-04bc-465f-8b02-49fa412e6cc0,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=52&GAID=17&DocTypeID=HB&LegId=141883&SessionID=112,ocd-bill/a62eb9d2-54a9-4fec-a04c-39f0098b543c
d1039ad0-e676-4093-9e43-bb92dc1d72f4,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=26&GAID=17&DocTypeID=HB&LegId=141857&SessionID=112,ocd-bill/68988171-7de8-42e3-b827-279b63e1a6b0
cf94babb-9ae5-481f-a33c-3caf38dfe242,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=44&GAID=17&DocTypeID=HB&LegId=141875&SessionID=112,ocd-bill/2375a796-97e6-46ce-a2fd-bfa6ebd9ebb2
25ed7a83-ad95-456c-8ef1-ab8af3396ac4,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=30&GAID=17&DocTypeID=HB&LegId=141861&SessionID=112,ocd-bill/656d3f45-d06a-4e7d-ad70-d26d69729ff5
f580c5ce-85ef-49f9-ad21-886ff15e32db,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=50&GAID=17&DocTypeID=HB&LegId=141881&SessionID=112,ocd-bill/d00202ef-f29c-4f86-bb94-9c214d4fc654
399f6717-2241-4127-a423-f450a262b958,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=24&GAID=17&DocTypeID=HB&LegId=141855&SessionID=112,ocd-bill/e85c641a-78af-422f-bcbf-ed4e7d30b2a0
d2abb745-ac61-4211-b28d-559438c3b210,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=43&GAID=17&DocTypeID=HB&LegId=141874&SessionID=112,ocd-bill/8215ac29-6cf8-4faa-bf71-fb707eb061c6
fd643a77-5e09-4743-8e73-5b5a9f76e2c4,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=48&GAID=17&DocTypeID=HB&LegId=141879&SessionID=112,ocd-bill/c969c579-6111-442f-aac7-a0274a4734e5
61d8b17a-baa0-41e3-8be9-a7f8af9f1271,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=123&GAID=17&DocTypeID=HB&LegId=141955&SessionID=112,ocd-bill/3d787a64-349b-48d4-b71c-5dbe97744bb5
673e0dbe-3f19-40c5-bead-f1c42860c852,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=125&GAID=17&DocTypeID=HB&LegId=141957&SessionID=112,ocd-bill/db4b8278-cd18-4e50-8f37-ea55067a9638
f778539c-4fea-4f45-9d29-b9720f579750,,https://beta.ilga.gov/Legislation/BillStatus?DocNum=122&GAID=17&DocTypeID=HB&LegId=141954&SessionID=112,ocd-bill/217c62d2-436b-40a4-b200-737945ba3b4b
