id,bill_id,note,date,classification,extras
b54d6637-2239-4b5f-9dd6-14c7e1fa1e90,ocd-bill/97fd841a-97ac-45df-b6d0-2d5a139c31af,Senate Amendment 001,,,{}
681b3a13-d8b7-4544-93fd-9fc28af75f10,ocd-bill/97fd841a-97ac-45df-b6d0-2d5a139c31af,Senate Amendment 002,,,{}
783cba0f-dfb8-4248-95d8-a9b7028642d4,ocd-bill/97fd841a-97ac-45df-b6d0-2d5a139c31af,Senate Amendment 003,,,{}
5f3b9cb3-0f69-44ee-8ee2-c5ec5fd723a8,ocd-bill/7fb49ad9-d9bc-49ab-9057-4eea3041964b,Introduced,,,{}
4eee36fb-c51f-491e-9f8e-11934fe22083,ocd-bill/f42e6a8c-6b43-4db2-90a5-c9111d34bb9e,Introduced,,,{}
dfcf459f-444e-4916-89bd-d0a166697f9d,ocd-bill/46caf0d3-4821-4f8e-a74b-46373d5b589d,Introduced,,,{}
c32c7ed3-51f3-4432-bcb3-47b4795174c6,ocd-bill/a5de84f1-f857-46f0-87d8-2020698279ad,Introduced,,,{}
5640c538-4cef-4c8c-b8d7-7f600ea9cd48,ocd-bill/347d93cb-78fb-4a59-8957-4f71cc3e54d8,Introduced,,,{}
a5ccbb7a-8263-4bab-8e0f-93201e6b7abf,ocd-bill/6832e166-bce2-40c1-8133-96df72d295a7,Introduced,,,{}
3a9fbab1-a296-40d4-aab9-e1660c42555b,ocd-bill/9fb6f034-88fa-41b2-b704-82aec7593709,Introduced,,,{}
a9bb5db9-4e39-431a-b39e-2788493ad147,ocd-bill/561068c1-df7f-4268-9907-1dc447ee638f,Introduced,,,{}
4957bc7e-4caa-4176-ac4e-7b57e7113e75,ocd-bill/048afb7f-24ab-43a3-924c-94a05ba83c27,Introduced,,,{}
cf2ea883-a7d5-4e52-864c-aca771ee3cb7,ocd-bill/f1cc7f71-56d7-4910-9a52-3ceeffcc77c4,Introduced,,,{}
4fa0fa79-1358-4112-861d-d7381136a0b3,ocd-bill/e8323dcf-275d-458e-bcb9-90701623134a,Introduced,,,{}
46f13852-7f98-4658-8330-95657a82d953,ocd-bill/e6d998ca-d5f2-4d2b-822c-224e20149d63,Introduced,,,{}
13d7ceb3-71af-4c1a-9919-2e1d72466995,ocd-bill/11e0fa75-e32a-4fd7-8ea1-4fc572fd6a1d,Introduced,,,{}
baf563d4-c755-4eb6-8d66-f96bf8fea1a0,ocd-bill/2add09e1-4b8e-4aa1-94e1-8bc92f79dfa6,Introduced,,,{}
d695d5c9-7644-47c2-a0d4-65f748c9244c,ocd-bill/fba1c136-bd67-4cf2-8d5b-9ae8376cafc1,Introduced,,,{}
4a3391d3-2820-4826-bff1-06e522bf0629,ocd-bill/5565c14e-eca4-4001-85f3-135f38981c2c,Introduced,,,{}
f3be03e6-8ca7-4d36-85ec-72916fe3b7bc,ocd-bill/3cb171c1-8f7b-4da0-8c1e-dfc1f48e641c,Introduced,,,{}
859c5dd4-6a19-4d2d-911b-f48d00d75033,ocd-bill/a5518d90-0799-411e-9f08-dcaf7a45c8f0,Introduced,,,{}
bf209340-cec8-4cdf-8ad9-eae87f291365,ocd-bill/8814a546-7d4b-492a-9def-4af18ffc11f7,Introduced,,,{}
b8e84e84-2e9d-4278-9f81-15ff227c0736,ocd-bill/979a9b4b-a2ce-4836-a2db-5fb7764513f7,Introduced,,,{}
ab4924c3-d419-4735-bbdf-26842a7571d9,ocd-bill/b246ccbd-6b62-4444-b646-585e1f9112d1,Introduced,,,{}
a15a10d5-ca89-4182-a74f-0cb061dd1e33,ocd-bill/afcae26e-18a1-4151-b183-6b3381930807,Introduced,,,{}
028dfd32-1901-4bf4-b784-796253571e11,ocd-bill/2e8ed27f-2893-49c3-ae1c-dbb959db41b9,Introduced,,,{}
15a65402-b812-4c05-9e38-6f84099529da,ocd-bill/5ed8bc41-44dc-4775-9141-e4dc7fab0b8f,Introduced,,,{}
3d6ce863-0236-4ebc-9352-4c4143d16dbb,ocd-bill/94827777-f510-4247-93fa-7cc33971e903,Introduced,,,{}
b8ac2d3e-4217-490b-bcdf-fc1445e6deb1,ocd-bill/36d4ad9e-764a-44ee-be18-b260aba94fbd,Introduced,,,{}
d8c8bba6-23fa-4932-8309-2a661ae0e101,ocd-bill/dd2f8b00-1965-4e26-9f01-065ab531c018,Introduced,,,{}
4446b449-43ec-4544-bcbe-5e549b1795f9,ocd-bill/70151e17-073e-4828-8f6b-60786fa21e80,Introduced,,,{}
48505001-2f3f-409d-904a-a8f6b96af2a7,ocd-bill/5a1f45cf-d428-4e79-8c2d-516c64644fdd,Introduced,,,{}
23d7bc88-6329-4e4c-b005-f172372a2ffc,ocd-bill/b4965311-fc3b-4668-96ee-825ce64dad95,Introduced,,,{}
75d4fa70-9d00-43a3-8af9-81299515795e,ocd-bill/c3d3b385-07e9-4528-b309-1c6506f88be5,Introduced,,,{}
25ae4ef5-55d1-463f-b5f0-8018db32273f,ocd-bill/beb0d19c-5cf0-4ce1-ab0c-7b2521289c1d,Introduced,,,{}
427cdeb1-ccf4-4ead-bd0d-e5c7830cba74,ocd-bill/1d8c9323-8183-48b5-93c8-e980c69207b2,Introduced,,,{}
77ed3755-ac95-4273-af1e-f742daa24723,ocd-bill/def70587-b2ef-4aed-8e20-19d294776c0e,Introduced,,,{}
f635844d-7f25-4779-9ccb-949ec7e8e4b5,ocd-bill/23bf5d9f-3277-4e34-a5b5-024d0ff219d3,Introduced,,,{}
7cc7fe05-1939-4650-a0c1-d7b5becb519b,ocd-bill/2c5fa83c-b760-4a61-a23e-18888aeebc72,Introduced,,,{}
597042e8-6d1d-42d2-9899-1b62bd199f6e,ocd-bill/b8a98245-ebb1-4397-ac07-c718d2013444,Introduced,,,{}
066f37d8-f3de-40a9-b2bc-c86918da62ef,ocd-bill/e141b8f0-99d9-4fee-8350-f7439726bb50,Introduced,,,{}
1ece5702-41da-404a-a4bf-37ca1be39daa,ocd-bill/f26c3e27-ed2e-4734-9103-369472204481,Introduced,,,{}
738524e7-eb46-4ffa-9668-7de9936cfe6a,ocd-bill/7e151484-3408-45a2-8b0b-c1e953e146be,Introduced,,,{}
f66a55c9-23fa-4826-be87-d966c125dec1,ocd-bill/ec74e13f-c9d5-4e5e-b4be-8bc79f893817,Introduced,,,{}
bacce492-aabb-4f1e-a406-bfeabef07b31,ocd-bill/4013bcfe-141f-4210-b3b8-b7d0152ff4ea,Introduced,,,{}
625540c9-f88b-4050-962e-f6fecb07eec5,ocd-bill/45a70020-83c9-4bb8-8e61-780c6f366c9d,Introduced,,,{}
4855d794-7247-40cb-ab2a-cac39509a12a,ocd-bill/1664a688-aaca-4356-9d3f-a395de555bed,Introduced,,,{}
ac984290-0574-4151-9d56-8240f8115cbc,ocd-bill/fe6cfb96-cf4c-4ca7-93c4-6226026dd44c,Introduced,,,{}
062f592d-2e09-47e4-9bc9-4becd4ab6238,ocd-bill/090c8250-c214-4600-ac71-04e0fccb6a29,Introduced,,,{}
2f2e9293-72bd-4167-98d2-6175d53e99cd,ocd-bill/e7dc9b0a-3341-4a61-931f-1f617b05abd6,Introduced,,,{}
7325e222-602f-42c0-af96-2a6ad3b57b02,ocd-bill/b2512e8b-52e5-4192-9e03-78a75e729a0a,Introduced,,,{}
cbdba7e6-c465-4e8e-a456-4d356bfc59a3,ocd-bill/090578a9-53a8-45f3-95d9-e95667855b60,Introduced,,,{}
a2c22c9f-6908-45e6-97e1-d75f912d5d8e,ocd-bill/3e285779-5c44-47f5-bedb-8cac0acecbcd,Introduced,,,{}
5311e605-6cbb-4813-ac22-7a1c17dcb318,ocd-bill/288516ba-c2ba-4f76-9de1-778d898f880b,Introduced,,,{}
af819014-c5d5-4165-a0b4-ccc247997ec4,ocd-bill/75393acc-cd59-488e-8a25-1336f159cefb,Introduced,,,{}
b6e5df39-d194-4628-a6bd-b2c678a5421c,ocd-bill/66466616-fa7b-453c-8c40-ca44863151e7,Introduced,,,{}
829b4134-88fa-492e-89ed-dc33e600052a,ocd-bill/79d866cb-63bc-4608-ba9f-a71787729b39,Introduced,,,{}
2ea4cec6-03a1-425a-a597-1ffd545f7962,ocd-bill/2d3af97a-5605-4fb1-b717-bab7dd4c5145,Introduced,,,{}
0659946a-8610-42b5-be4a-2c96ebf08822,ocd-bill/a22d39a2-7de0-42d5-8f0d-6084723e24b4,Introduced,,,{}
937fd7fb-b56c-4cea-896d-5b51be795e1b,ocd-bill/d536a483-e63b-423a-91d7-48590f605c27,Introduced,,,{}
73f9a664-c52d-40f9-9f3b-ce49642e8684,ocd-bill/58ba5f83-0e17-4b4d-8af5-796f2aad8c4e,Introduced,,,{}
