id,identifier,motion_text,motion_classification,start_date,result,organization_id,bill_id,bill_action_id,jurisdiction,session_identifier
ocd-vote/3c121578-2bb8-4825-8be4-954919d68817,,Executive,[],2023-02-15,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/125a2157-2cb2-459e-af6a-e0eb313a9fe4,,Illinois,103rd
ocd-vote/929b2e07-49d3-4f66-93b9-40e5b648ec2b,,Executive,[],2023-02-15,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/3d72dce2-2364-402f-8c37-814eb6894869,,Illinois,103rd
ocd-vote/b9ee889b-1f4c-44f1-be71-660f05b887cf,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/cc478b84-072f-4bfd-b9f6-08b4436275e2,,Illinois,103rd
ocd-vote/17643495-8f7d-4e66-ae8b-14cfae7d6765,,Executive Appointments,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/7a441baa-caba-4443-9712-1fdd9c97f70e,,Illinois,103rd
ocd-vote/9d5e3a99-498c-4d7f-9979-e98766ab2fc3,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/fe71d0f1-d99b-4634-a84a-95a773dd017c,,Illinois,103rd
ocd-vote/262966ba-f40c-490f-9f94-e6fd581efa3e,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/af2d454c-baec-4e7e-9bf8-afe864fe3dd3,,Illinois,103rd
ocd-vote/0872fff0-89cd-4b39-8f29-18d5bcb7360a,,Executive Appointments,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/0cfdbfb1-15fe-4e73-a9ac-b946a5c5bcbb,,Illinois,103rd
ocd-vote/0e60c79d-31e2-40da-8a41-b20031574fa9,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/de03904e-70a9-4afa-bb28-162b114f7e2e,,Illinois,103rd
ocd-vote/8ce47bad-803c-4f69-88c9-c21839c32438,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/f32a5c2d-9e6d-4b22-b092-a4f84c703ac3,,Illinois,103rd
ocd-vote/dc6f851d-4c23-4850-80c7-b397eaf8e251,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/6ab71f86-625a-42a9-a176-621319a59cfb,,Illinois,103rd
ocd-vote/4b23718d-3edc-42dc-a0bb-da0965943172,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/c068e583-b31a-451c-b332-6383de9040d9,,Illinois,103rd
ocd-vote/f5d8f857-c38e-4f49-ae80-e4e5c6a1474a,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/0157293d-5e66-47f5-b5e9-755c505c24d5,,Illinois,103rd
ocd-vote/f9def168-8f87-46dc-8169-05de7d0dfe51,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/7726b6df-aefd-4601-a6d9-75b34c53d10d,,Illinois,103rd
ocd-vote/a68eca8b-c192-4445-ad24-672a19fdc120,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/7a441baa-caba-4443-9712-1fdd9c97f70e,,Illinois,103rd
ocd-vote/7ae3e5ac-e5ee-4896-85df-f575461b6d10,,Executive Appointments,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/fe71d0f1-d99b-4634-a84a-95a773dd017c,,Illinois,103rd
ocd-vote/28fe46f3-c9fa-4a67-9017-eea772c026d7,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/9f4c4b51-16d2-410d-b1ab-8ccc35d2efc9,,Illinois,103rd
ocd-vote/7d2fc729-7b92-4c36-a668-1bcfffbba684,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/1cbc0133-434d-4c27-9819-ead26fc59e72,,Illinois,103rd
ocd-vote/1140ebc6-dc89-4d24-8001-812f1654a4f9,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/4dec9a3d-10e9-40c3-ac7a-d5d2498534aa,,Illinois,103rd
ocd-vote/76830e72-2af3-4050-85c5-7cbc29877249,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/55568452-802a-4ada-a3b4-7eb188c25295,,Illinois,103rd
