created_at,updated_at,extras,id,name,parent_id,jurisdiction_id,classification,sources,links,other_names
2023-02-15 00:38:15.881540+00:00,2024-10-08 20:04:05.614446+00:00,{},ocd-organization/8e6ec33f-48cd-4c39-8965-aacd3ae440db,Housing,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2952&GA=103', 'note': ''}]","[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2952&GA=103', 'note': ''}]","[{'name': 'House Committee on Housing', 'end_date': '', 'start_date': ''}, {'name': 'House Housing', 'end_date': '', 'start_date': ''}, {'name': 'House Housing Committee', 'end_date': '', 'start_date': ''}]"
2023-02-15 00:38:22.029541+00:00,2024-10-08 20:04:06.320114+00:00,{},ocd-organization/6f09ff41-b434-4c3e-a2fb-97986805271b,Revenue & Finance,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2927&GA=103', 'note': ''}]","[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': ''}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2927&GA=103', 'note': 'homepage'}]","[{'name': 'House Committee on Revenue and Finance', 'end_date': '', 'start_date': ''}, {'name': 'House Revenue and Finance', 'end_date': '', 'start_date': ''}, {'name': 'House Revenue and Finance Committee', 'end_date': '', 'start_date': ''}]"
2023-02-15 00:38:21.188485+00:00,2024-10-08 20:04:05.822578+00:00,{},ocd-organization/7472c7bd-a335-44b1-9ee4-9e77124cb05b,Appropriations-Public Safety,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2883&GA=103', 'note': ''}]","[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2883&GA=103', 'note': ''}]","[{'name': 'House Appropriations: Public Safety', 'end_date': '', 'start_date': ''}, {'name': 'House Appropriations: Public Safety Committee', 'end_date': '', 'start_date': ''}, {'name': 'House Committee on Appropriations: Public Safety', 'end_date': '', 'start_date': ''}]"
2023-02-15 00:38:16.438524+00:00,2024-10-08 20:04:05.910662+00:00,{},ocd-organization/0aaaed81-3106-4a60-b859-3ce7be6c9df4,Ethics & Elections,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2951&GA=103', 'note': ''}]","[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2951&GA=103', 'note': ''}]","[{'name': 'House Committee on Ethics and Elections', 'end_date': '', 'start_date': ''}, {'name': 'House Ethics and Elections', 'end_date': '', 'start_date': ''}, {'name': 'House Ethics and Elections Committee', 'end_date': '', 'start_date': ''}]"
2023-02-15 00:38:23.152193+00:00,2024-10-08 20:04:06.433509+00:00,{},ocd-organization/52972fce-2883-4378-8d4d-fc213ed05072,Energy & Environment,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2928&GA=103', 'note': ''}]","[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2928&GA=103', 'note': ''}]","[{'name': 'House Committee on Energy and Environment', 'end_date': '', 'start_date': ''}, {'name': 'House Energy and Environment', 'end_date': '', 'start_date': ''}, {'name': 'House Energy and Environment Committee', 'end_date': '', 'start_date': ''}]"
2024-05-29 00:30:01.627975+00:00,2024-10-08 20:04:05.314636+00:00,{},ocd-organization/39caec5e-6e63-49f5-b112-fb7d278a173f,"Elementary and Secondary Education: Administration, Licensing and Charter Schools",ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,[],"[{'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2930&GA=103', 'note': 'homepage'}]","[{'name': 'House Committee on Elementary and Secondary Education: Administration, Licensing and Charter Schools', 'end_date': '', 'start_date': ''}, {'name': 'House Elementary and Secondary Education: Administration, Licensing and Charter Schools', 'end_date': '', 'start_date': ''}, {'name': 'House Elementary and Secondary Education: Administration, Licensing and Charter Schools Committee', 'end_date': '', 'start_date': ''}]"
2023-02-15 00:38:18.138759+00:00,2024-10-08 20:04:05.346439+00:00,{},ocd-organization/5476ea6b-c245-490e-b325-e619c2758d62,"Cybersecurity, Data Analytics, & IT",ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2933&GA=103', 'note': ''}]","[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': ''}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2933&GA=103', 'note': 'homepage'}]","[{'name': 'House Committee on Cybersecurity, Data Analytics and IT', 'end_date': '', 'start_date': ''}, {'name': 'House Cybersecurity, Data Analytics and IT', 'end_date': '', 'start_date': ''}, {'name': 'House Cybersecurity, Data Analytics and IT Committee', 'end_date': '', 'start_date': ''}]"
2023-02-15 00:38:18.420587+00:00,2024-10-08 20:04:05.482485+00:00,{},ocd-organization/0e0996cc-2d0c-4106-804f-1f51878d8f13,Executive,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2887&GA=103', 'note': ''}]","[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2887&GA=103', 'note': ''}]","[{'name': 'House Committee on Executive', 'end_date': '', 'start_date': ''}, {'name': 'House Executive', 'end_date': '', 'start_date': ''}, {'name': 'House Executive Committee', 'end_date': '', 'start_date': ''}]"
2023-02-15 00:38:23.985293+00:00,2024-10-08 20:04:05.509766+00:00,{},ocd-organization/3a1ec429-0b71-475d-a6d0-01d162ee3aa2,Restorative Justice,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2955&GA=103', 'note': ''}]","[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2955&GA=103', 'note': ''}]","[{'name': 'House Committee on Restorative Justice', 'end_date': '', 'start_date': ''}, {'name': 'House Restorative Justice', 'end_date': '', 'start_date': ''}, {'name': 'House Restorative Justice Committee', 'end_date': '', 'start_date': ''}]"
2024-05-29 00:30:05.032404+00:00,2024-10-08 20:04:05.561529+00:00,{},ocd-organization/d16c9fe3-843b-4c51-99dd-2d30347dc133,Elementary and Secondary Education: School Curriculum and Policies,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,[],"[{'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2886&GA=103', 'note': 'homepage'}]","[{'name': 'House Committee on Elementary and Secondary Education: School Curriculum and Policies', 'end_date': '', 'start_date': ''}, {'name': 'House Elementary and Secondary Education: School Curriculum and Policies', 'end_date': '', 'start_date': ''}, {'name': 'House Elementary and Secondary Education: School Curriculum and Policies Committee', 'end_date': '', 'start_date': ''}]"
