id,vote_event_id,option,value
598a27ce-dc77-44a0-ac57-7768c23556bd,ocd-vote/36cfcdc4-7012-425a-8630-8db6492d2143,absent,0
dda68a1e-a475-4346-a593-1dc914cc0165,ocd-vote/36cfcdc4-7012-425a-8630-8db6492d2143,excused,0
da103dc5-dd61-457c-b59c-b64aae44ff8f,ocd-vote/36cfcdc4-7012-425a-8630-8db6492d2143,other,0
2b04e997-7dd2-4c25-9fbc-24ebf2ae6947,ocd-vote/36cfcdc4-7012-425a-8630-8db6492d2143,no,0
9173a02f-e290-4f62-a44b-0c48dbc4cc8d,ocd-vote/36cfcdc4-7012-425a-8630-8db6492d2143,yes,58
5cdc1e12-3f12-428d-957d-dfcab04ac0ff,ocd-vote/c4f06537-8172-4f4a-8e5a-278a778f7a00,not voting,4
3c2d5272-0e09-4376-a187-0d4dc18caf79,ocd-vote/20549bb0-42a2-4bd9-8aa6-441cb3f464c6,not voting,0
2354f77b-e9f3-496d-979f-73a2207912e6,ocd-vote/20549bb0-42a2-4bd9-8aa6-441cb3f464c6,absent,0
7474a36c-1c8a-406a-8066-0112a5d46765,ocd-vote/20549bb0-42a2-4bd9-8aa6-441cb3f464c6,excused,3
346e0cc2-9d7f-42aa-b8be-c6c6b7cdaadd,ocd-vote/20549bb0-42a2-4bd9-8aa6-441cb3f464c6,other,0
a7d862b7-cc3a-44fc-96e2-2bfd96f4ab77,ocd-vote/20549bb0-42a2-4bd9-8aa6-441cb3f464c6,no,0
01f936c5-72d7-4f24-8e81-a6886d346558,ocd-vote/20549bb0-42a2-4bd9-8aa6-441cb3f464c6,yes,115
5e6f0d6f-780a-48c6-967a-3ff6d9d190b8,ocd-vote/746fecca-35db-4cf1-a1c7-d461e6702dfd,not voting,2
51ba4625-eb69-4403-91b3-97320ad82b29,ocd-vote/746fecca-35db-4cf1-a1c7-d461e6702dfd,absent,0
89343885-6fed-445e-a572-a2177cd31a36,ocd-vote/746fecca-35db-4cf1-a1c7-d461e6702dfd,excused,0
