created_at,updated_at,extras,id,name,parent_id,jurisdiction_id,classification,sources,links,other_names
2023-02-15 00:38:18.982657+00:00,2025-02-21 16:24:55.298626+00:00,{},ocd-organization/5864dcc8-262d-41ca-bd8a-9451f2864d26,Consumer Protection,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2884&GA=103', 'note': ''}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=3054&GA=104', 'note': ''}]","[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': ''}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2884&GA=103', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=3054&GA=104', 'note': ''}]","[{'name': 'House Committee on Consumer Protection', 'end_date': '', 'start_date': ''}, {'name': 'House Consumer Protection', 'end_date': '', 'start_date': ''}, {'name': 'House Consumer Protection Committee', 'end_date': '', 'start_date': ''}]"
2023-02-15 00:38:13.958132+00:00,2025-02-21 16:24:55.341973+00:00,{},ocd-organization/0c369a49-5b86-406d-a930-56144c8b8788,Economic Opportunity and Equity,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2934&GA=103', 'note': ''}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=3101&GA=104', 'note': ''}]","[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': ''}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2934&GA=103', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=3101&GA=104', 'note': ''}]","[{'name': 'House Committee on Economic Opportunity and Equity', 'end_date': '', 'start_date': ''}, {'name': 'House Economic Opportunity and Equity', 'end_date': '', 'start_date': ''}, {'name': 'House Economic Opportunity and Equity Committee', 'end_date': '', 'start_date': ''}]"
2025-02-21 16:24:55.365610+00:00,2025-03-14 23:56:11.349640+00:00,{},ocd-organization/3cf0da72-e9af-4e2b-9645-a4277a99ad13,Education Policy,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=3056&GA=104', 'note': ''}]","[{'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=3056&GA=104', 'note': ''}]","[{'name': 'House Committee on Education Policy', 'end_date': '', 'start_date': ''}, {'name': 'House Education Policy', 'end_date': '', 'start_date': ''}, {'name': 'House Education Policy Committee', 'end_date': '', 'start_date': ''}]"
2023-02-15 00:38:18.420587+00:00,2025-02-21 16:24:55.454250+00:00,{},ocd-organization/0e0996cc-2d0c-4106-804f-1f51878d8f13,Executive,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2887&GA=103', 'note': ''}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=3057&GA=104', 'note': ''}]","[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2887&GA=103', 'note': ''}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=3057&GA=104', 'note': ''}]","[{'name': 'House Committee on Executive', 'end_date': '', 'start_date': ''}, {'name': 'House Executive', 'end_date': '', 'start_date': ''}, {'name': 'House Executive Committee', 'end_date': '', 'start_date': ''}]"
2023-02-15 00:38:14.232058+00:00,2025-02-21 16:24:55.502059+00:00,{},ocd-organization/48e9d231-a792-4be6-aa29-407a33e25e6a,Personnel and Pensions,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2894&GA=103', 'note': ''}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=3064&GA=104', 'note': ''}]","[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2894&GA=103', 'note': ''}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=3064&GA=104', 'note': ''}]","[{'name': 'House Committee on Personnel and Pensions', 'end_date': '', 'start_date': ''}, {'name': 'House Personnel and Pensions', 'end_date': '', 'start_date': ''}, {'name': 'House Personnel and Pensions Committee', 'end_date': '', 'start_date': ''}]"
2023-02-15 00:38:22.029541+00:00,2025-02-21 16:24:55.550481+00:00,{},ocd-organization/6f09ff41-b434-4c3e-a2fb-97986805271b,Revenue and Finance,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2927&GA=103', 'note': ''}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=3095&GA=104', 'note': ''}]","[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': ''}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2927&GA=103', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=3095&GA=104', 'note': ''}]","[{'name': 'House Committee on Revenue and Finance', 'end_date': '', 'start_date': ''}, {'name': 'House Revenue and Finance', 'end_date': '', 'start_date': ''}, {'name': 'House Revenue and Finance Committee', 'end_date': '', 'start_date': ''}]"
2023-02-15 00:38:23.709387+00:00,2025-02-21 16:24:55.606071+00:00,{},ocd-organization/d0ebd442-9a5c-4048-9ead-10b4199e6267,Gaming,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2968&GA=103', 'note': ''}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=3123&GA=104', 'note': ''}]","[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2968&GA=103', 'note': ''}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=3123&GA=104', 'note': ''}]","[{'name': 'House Committee on Gaming', 'end_date': '', 'start_date': ''}, {'name': 'House Gaming', 'end_date': '', 'start_date': ''}, {'name': 'House Gaming Committee', 'end_date': '', 'start_date': ''}]"
2023-02-15 00:38:23.985293+00:00,2025-02-21 16:24:55.650493+00:00,{},ocd-organization/3a1ec429-0b71-475d-a6d0-01d162ee3aa2,Restorative Justice and Public Safety,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2955&GA=103', 'note': ''}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=3114&GA=104', 'note': ''}]","[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2955&GA=103', 'note': ''}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=3114&GA=104', 'note': ''}]","[{'name': 'House Committee on Restorative Justice', 'end_date': '', 'start_date': ''}, {'name': 'House Committee on Restorative Justice and Public Safety', 'end_date': '', 'start_date': ''}, {'name': 'House Restorative Justice', 'end_date': '', 'start_date': ''}, {'name': 'House Restorative Justice and Public Safety', 'end_date': '', 'start_date': ''}, {'name': 'House Restorative Justice and Public Safety Committee', 'end_date': '', 'start_date': ''}, {'name': 'House Restorative Justice Committee', 'end_date': '', 'start_date': ''}, {'name': 'Restorative Justice', 'end_date': '', 'start_date': ''}]"
2023-02-15 00:38:15.325694+00:00,2025-03-14 23:56:10.304147+00:00,{},ocd-organization/87a0f111-b794-427f-8ab3-ac1851ea082f,Appropriations: Elementary and Secondary Education,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2879&GA=103', 'note': ''}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=3049&GA=104', 'note': ''}]","[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2879&GA=103', 'note': ''}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=3049&GA=104', 'note': ''}]","[{'name': 'House Appropriations: Elementary and Secondary Education', 'end_date': '', 'start_date': ''}, {'name': 'House Appropriations: Elementary and Secondary Education Committee', 'end_date': '', 'start_date': ''}, {'name': 'House Committee on Appropriations: Elementary and Secondary Education', 'end_date': '', 'start_date': ''}]"
2023-02-15 00:38:21.188485+00:00,2025-02-21 16:24:55.806944+00:00,{},ocd-organization/7472c7bd-a335-44b1-9ee4-9e77124cb05b,Appropriations: Public Safety and Infrastructure,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2883&GA=103', 'note': ''}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=3053&GA=104', 'note': ''}]","[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2883&GA=103', 'note': ''}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=3053&GA=104', 'note': ''}]","[{'name': 'Appropriations: Public Safety', 'end_date': '', 'start_date': ''}, {'name': 'House Appropriations: Public Safety', 'end_date': '', 'start_date': ''}, {'name': 'House Appropriations: Public Safety and Infrastructure', 'end_date': '', 'start_date': ''}, {'name': 'House Appropriations: Public Safety and Infrastructure Committee', 'end_date': '', 'start_date': ''}, {'name': 'House Appropriations: Public Safety Committee', 'end_date': '', 'start_date': ''}, {'name': 'House Committee on Appropriations: Public Safety', 'end_date': '', 'start_date': ''}, {'name': 'House Committee on Appropriations: Public Safety and Infrastructure', 'end_date': '', 'start_date': ''}]"
