id,bill_id,note,date,classification,extras
86fbd04f-447a-4f20-975c-f29654e5c144,ocd-bill/b577cfd8-eadc-464e-9c16-81151cf0c9c4,Senate Amendment 002,,,{}
aeb12adf-0abb-4d38-b071-02018e4b1f87,ocd-bill/f0f10a26-75e7-44e6-9958-6a75edf8da14,Introduced,,,{}
f7b6a1f9-c8b1-498f-a0a7-673d6370ad10,ocd-bill/d2b5b35f-55ab-4fcc-a406-9f6abba5a205,Introduced,,,{}
9dccba84-89c3-4c30-8973-8f453b1475a3,ocd-bill/d2b5b35f-55ab-4fcc-a406-9f6abba5a205,House Amendment 001,,,{}
5ef0048e-3df4-4a8e-a6a4-2e4898a42334,ocd-bill/45591f39-01e5-432f-8d22-805c05a742f1,Introduced,,,{}
02137c2c-cc54-4ec8-9878-581dbff21d5f,ocd-bill/e0be7f35-b43c-49b8-b786-7bb1d6894ae1,Introduced,,,{}
1d7379c1-0936-4400-8e50-97888f99f23b,ocd-bill/720879d0-fade-4187-a287-9ed3c2f1defd,Introduced,,,{}
2250407d-6d6a-4764-858a-7a2be5a847f2,ocd-bill/6d26c6a9-0812-4fbf-9493-2d0a268ec8f8,Introduced,,,{}
11377283-5cff-4675-be45-b0afe4e51680,ocd-bill/7331fd6c-1afd-4018-ab4e-760846eb73d3,Introduced,,,{}
6b770889-8f76-4a51-b9b8-f9cf7e52e680,ocd-bill/e47c014a-cdc7-4e32-91fe-3eec06fe78ff,Introduced,,,{}
dc0a8401-3601-466d-a645-3f93e4e5f0b2,ocd-bill/e0df35be-2973-43b8-bdc4-4b2ea71ebccc,Introduced,,,{}
010e0349-2e81-4eed-97b8-fa6cf8c5a5da,ocd-bill/13b13756-3b23-4731-9bf4-99e229316b53,Introduced,,,{}
1d688d7f-0202-4287-a7d6-f38ac6afef93,ocd-bill/ff3f0a02-dc6b-49f7-a045-5a539a8155b8,Introduced,,,{}
8f452485-9a84-4b72-84e1-034f52eb9114,ocd-bill/ff3f0a02-dc6b-49f7-a045-5a539a8155b8,Engrossed,,,{}
6aa505c4-1031-414c-8c96-a47cd2334d67,ocd-bill/ff3f0a02-dc6b-49f7-a045-5a539a8155b8,Enrolled,,,{}
d0eab48b-91a3-4b6e-b9d1-67a8789bbae9,ocd-bill/ff3f0a02-dc6b-49f7-a045-5a539a8155b8,Senate Amendment 001,,,{}
5a3e7f6f-4618-4d52-a80e-a93313da9d4f,ocd-bill/ff3f0a02-dc6b-49f7-a045-5a539a8155b8,Senate Amendment 002,,,{}
48fce269-4461-4867-9632-833a8528a7ff,ocd-bill/f00f8a80-5153-4c36-97ac-b4e626a80c0a,Introduced,,,{}
e8d0964a-a42e-4193-bfb9-b54217ab5133,ocd-bill/e38b5f0d-a0fe-43a1-8c0d-959ebc2cd3b0,Introduced,,,{}
9e01f04c-802c-49f2-aff4-d6009f7c987c,ocd-bill/e38b5f0d-a0fe-43a1-8c0d-959ebc2cd3b0,Engrossed,,,{}
b91548d2-07ad-49a5-9f42-eebeae02222c,ocd-bill/3c13296f-305a-48b3-93f8-b2c2089d3b11,Introduced,,,{}
10e44d29-f47d-47c2-8722-608631610e8f,ocd-bill/3b5b96d5-9d75-409e-99fb-7839515db5cf,Introduced,,,{}
c2589d1c-b7e4-4d2d-b4a7-ba1af8caf16c,ocd-bill/afe3351d-87fd-44c8-bc42-5d4ef38ff894,Introduced,,,{}
40a2bde0-2c43-4d6e-bfca-14557e28d829,ocd-bill/57828f4e-280f-4511-97be-05bfa427a319,Introduced,,,{}
718f5546-29d1-432f-a69b-472dc665f78a,ocd-bill/d0ef0d79-5c91-4612-8744-2817818c09fd,Introduced,,,{}
97f1e388-4a39-4dc1-b7d2-634fd59d841a,ocd-bill/96b9fd52-b0be-45f5-919b-b9f5d6362131,Introduced,,,{}
5b990a54-bedc-408e-b398-83ddbc6cce18,ocd-bill/e8eaf7d7-f555-4005-81a2-9246dd8bd7e9,Introduced,,,{}
4b5c9af9-4505-420f-846d-0987ecaf3ec0,ocd-bill/979ad6ff-1a46-4a04-9993-d8617cec14ff,Introduced,,,{}
6f131ea2-efe0-40a2-95c1-ba5446f5db63,ocd-bill/d3e75654-692e-4b4f-93fa-e919add5814d,Introduced,,,{}
1f118452-ed4d-4084-9060-1fdd43597bae,ocd-bill/475a36d8-0aa1-455e-918f-1ada58b09a23,Introduced,,,{}
11ab66b6-ca74-426e-825a-00abf9ddca44,ocd-bill/b0b132a6-8cd7-4f4f-92e1-a533f4068b03,Introduced,,,{}
